title,release_date,Album,cleaned_lyrics,WordLength
A Troubled Mind,2020-05-01,Cape Elizabeth - EP,told love could see eye youd understand fear everything sight know id quickly sell heart advice ease troubled mind brain dog asleep let lie cloudy head though cant find single silver line guess hope sight ease troubled mind worry sun yes worry snow worry ill die young worry ill grow old oh worry time spent worry alone make sad take back break half ahooh break half take bus city live eavesdrop stranger conversation kid hope maybe theyd say something relevant ease worried head well every mile pass amplify fear start counting time saw last year suddenly become clear sadly make sense see noah kahan liveget ticket low might also like worry sun yes worry snow worry ill die young worry ill grow old oh worry time spent worry alone make sad take back break half ahooh break half worry sun yes worry snow worry ill die young worry ill grow old worry time spent worry alone make sad take back break half ahooh break half told love could see eye youd understand fear everything sight know id quickly sell heart advice ease troubled mindembed told love could see eye youd understand fear everything sight know id quickly sell heart advice ease troubled mind brain dog asleep let lie cloudy head though cant find single silver line guess hope sight ease troubled mind worry sun yes worry snow worry ill die young worry ill grow old oh worry time spent worry alone make sad take back break half ahooh break half take bus city live eavesdrop stranger conversation kid hope maybe theyd say something relevant ease worried head well every mile pass amplify fear start counting time saw last year suddenly become clear sadly make sense worry sun yes worry snow worry ill die young worry ill grow old oh worry time spent worry alone make sad take back break half ahooh break half worry sun yes worry snow worry ill die young worry ill grow old worry time spent worry alone make sad take back break half ahooh break half told love could see eye youd understand fear everything sight know id quickly sell heart advice ease troubled mind,2024
Hallelujah,2017-06-30,,dont wish knew oh wish knew ya aint strange sometimes speak think look right ya cant explain everything thought true look scream hand raise hallelujah eye eye hallelujah mind mind day lay awake count dirty tile floor sometimes sunlight find make day worth heard hallelujah eye eye hallelujah mind mind see noah kahan liveget ticket low might also like everything thought true look scream sky hallelujah due time due time maybe ghost heaven know hold anger call home maybe ghost heaven know reach god scream hallelujah life life hallelujah life life hallelujah eye eye hallelujah mind mind everything thought true look scream sky hallelujah eye due time hallelujah due time due timeembed dont wish knew oh wish knew ya aint strange sometimes speak think look right ya cant explain everything thought true look scream hand raise hallelujah eye eye hallelujah mind mind day lay awake count dirty tile floor sometimes sunlight find make day worth heard hallelujah eye eye hallelujah mind mind everything thought true look scream sky hallelujah due time due time maybe ghost heaven know hold anger call home maybe ghost heaven know reach god scream hallelujah life life hallelujah life life hallelujah eye eye hallelujah mind mind everything thought true look scream sky hallelujah eye due time hallelujah due time due time,1318
Pride,2020-10-23,,home alone im wonderin cut dont leave alone thought remember use say could always talk even lose wont admit burn bridge youre lead come save trouble dont want suffer move move honey dont lie youre busy tire youre every weekend takin new friend hurt pride little yes die little oh dont call cause photo say see youre let hair takin new friend hurt pride little yes die little every time see noah kahan liveget ticket low might also like youre head youre skin blood dont know care much try understand whats plan want cause keep hang wont admit burn bridge youre lead come save trouble dont want suffer move move honey dont lie dont lie youre busy tire im tire youre every weekend takin new friend hurt pride little yes die little oh dont call dont call cause photo say say say ooh see youre let hair takin new friend hurt pride little yes die little honey dont lie youre busy tire youre every weekend takin new friend hurt pride little yes die little every timeembed home alone im wonderin cut dont leave alone thought remember use say could always talk even lose wont admit burn bridge youre lead come save trouble dont want suffer move move honey dont lie youre busy tire youre every weekend takin new friend hurt pride little yes die little oh dont call cause photo say see youre let hair takin new friend hurt pride little yes die little every time youre head youre skin blood dont know care much try understand whats plan want cause keep hang wont admit burn bridge youre lead come save trouble dont want suffer move move honey dont lie dont lie youre busy tire im tire youre every weekend takin new friend hurt pride little yes die little oh dont call dont call cause photo say say say ooh see youre let hair takin new friend hurt pride little yes die little honey dont lie youre busy tire youre every weekend takin new friend hurt pride little yes die little every time,1874
Come Down,2018-06-15,,remember look face walk door say parent go state alone roll kitchen radio play clapton put paper towel fire alarm start break cry say please dont leave know youre afraid get late ill stay til come close youre mile away itll okay cause ill stay til come watch light left room start talk breathe moment two figure say need silence dont make sound start break cry say please dont leave know youre afraid get late ill stay til come close youre mile away itll okay cause ill stay til come see noah kahan liveget ticket low might also like know feel like never end know fear youre know youre afraid get late ill stay til come ive high unsure worry anymore start break cry say please dont leave know youre afraid get late ill stay til come close youre mile away itll okay cause ill stay til come know feel like never end know fear youre know youre afraid get late ill stay til come know youre afraid get late ill stay til come downembed remember look face walk door say parent go state alone roll kitchen radio play clapton put paper towel fire alarm start break cry say please dont leave know youre afraid get late ill stay til come close youre mile away itll okay cause ill stay til come watch light left room start talk breathe moment two figure say need silence dont make sound start break cry say please dont leave know youre afraid get late ill stay til come close youre mile away itll okay cause ill stay til come know feel like never end know fear youre know youre afraid get late ill stay til come ive high unsure worry anymore start break cry say please dont leave know youre afraid get late ill stay til come close youre mile away itll okay cause ill stay til come know feel like never end know fear youre know youre afraid get late ill stay til come know youre afraid get late ill stay til come,1799
Animal,2021-08-06,I Was / I Am,empty shell live door always close spend week lose head rest bone say nothing give guess ill get nothing ill accept defeat cause cant swing fight lose know cant see grass get greener cause aint nothing blue eye blood red high help little everyone meet passing white lie take color night dont sleep black blind hide wonder one ever really try call say ooh sometimes feel like animal ooh climb high feel fall let go look eye someone else ooh sometimes feel like animal animal animal see noah kahan liveget ticket low might also like always vision always watch go feel weak much close cant see grass get greener cause aint nothing blue eye blood red high help little everyone meet passing white lie take color night dont sleep black blind hide wonder one ever really try call say ooh sometimes feel like animal ooh climb high feel fall let go look eye someone else ooh sometimes feel like animal animal animal cant see grass get greener cause aint nothing blue eye blood red high help little everyone meet passing say ooh sometimes feel like animal ooh climb high feel fall let go look eye someone else ooh sometimes feel like animal animal animal ooh oohembed empty shell live door always close spend week lose head rest bone say nothing give guess ill get nothing ill accept defeat cause cant swing fight lose know cant see grass get greener cause aint nothing blue eye blood red high help little everyone meet passing white lie take color night dont sleep black blind hide wonder one ever really try call say ooh sometimes feel like animal ooh climb high feel fall let go look eye someone else ooh sometimes feel like animal animal animal always vision always watch go feel weak much close cant see grass get greener cause aint nothing blue eye blood red high help little everyone meet passing white lie take color night dont sleep black blind hide wonder one ever really try call say ooh sometimes feel like animal ooh climb high feel fall let go look eye someone else ooh sometimes feel like animal animal animal cant see grass get greener cause aint nothing blue eye blood red high help little everyone meet passing say ooh sometimes feel like animal ooh climb high feel fall let go look eye someone else ooh sometimes feel like animal animal animal ooh ooh,2260
Close Behind,2020-05-01,Cape Elizabeth - EP,think found fear mine might love reason know worry luck brought im half awake time timing season know worry youre lose change way think fear fact life could die tomorrow youd close behind ohohohoh ohohohohoh close behind live life year come prepare sorrow wont worry crumble foot something sinister love without regard dear tomorrow search worry love without deceit see noah kahan liveget ticket low might also like change way think fear fact life could die tomorrow youd close behind ohohohoh ohohohohoh close behind mmm mmm mmm mmm mmm change way think fear fact life could die tomorrow youd close behind fill day think though im year true time could die tomorrow youd close behind close behindembed think found fear mine might love reason know worry luck brought im half awake time timing season know worry youre lose change way think fear fact life could die tomorrow youd close behind ohohohoh ohohohohoh close behind live life year come prepare sorrow wont worry crumble foot something sinister love without regard dear tomorrow search worry love without deceit change way think fear fact life could die tomorrow youd close behind ohohohoh ohohohohoh close behind mmm mmm mmm mmm mmm change way think fear fact life could die tomorrow youd close behind fill day think though im year true time could die tomorrow youd close behind close behind,1348
Shape Of My Shadow,,NK4*,somebody body awake im asleep make feel ugly make feel weak met young live since argue end always win im terrify im forget side im tell nothing lie believe every one tell love youre gon na wear thin oh dont wish must healthy cause dont look sick please stop ask clothes dont fit cause dont know dont know youre gon na wear thin oh dont wish must healthy cause dont look sick oh please stop ask clothes dont fit cause dont know dont know see noah kahan liveget ticket low might also like every fuck mirror department store window puddle water shape shadow every fuck mirror department store window lord every puddle water shape shadow thousand different voice tell shouldnt care block noise one thats goddamn convincing yes pull every string dont know without take everything im terrify im forget side im tell nothing lie believe every one tell love youre gon na wear thin oh dont wish must healthy cause dont look sick oh please stop ask clothes dont fit cause dont know dont know youre gon na wear thin oh dont wish must healthy cause dont look sick oh please stop ask clothes dont fit cause dont know dont know every fuck mirror department store window puddle water shape shadow every fuck mirror department store window oh god every puddle water shape shadow aint hungry aint hungry aint hungry lord aint hungry aint hungry aint hungry aint hungry eat eat eat every fuck mirror department store window puddle water shape shadow every fuck mirror department store window every puddle water shape shadowembed somebody body awake im asleep make feel ugly make feel weak met young live since argue end always win im terrify im forget side im tell nothing lie believe every one tell love youre gon na wear thin oh dont wish must healthy cause dont look sick please stop ask clothes dont fit cause dont know dont know youre gon na wear thin oh dont wish must healthy cause dont look sick oh please stop ask clothes dont fit cause dont know dont know every fuck mirror department store window puddle water shape shadow every fuck mirror department store window lord every puddle water shape shadow thousand different voice tell shouldnt care block noise one thats goddamn convincing yes pull every string dont know without take everything im terrify im forget side im tell nothing lie believe every one tell love youre gon na wear thin oh dont wish must healthy cause dont look sick oh please stop ask clothes dont fit cause dont know dont know youre gon na wear thin oh dont wish must healthy cause dont look sick oh please stop ask clothes dont fit cause dont know dont know every fuck mirror department store window puddle water shape shadow every fuck mirror department store window oh god every puddle water shape shadow aint hungry aint hungry aint hungry lord aint hungry aint hungry aint hungry aint hungry eat eat eat every fuck mirror department store window puddle water shape shadow every fuck mirror department store window every puddle water shape shadow,2964
Save Me,2019-06-14,Busyhead,im passive sarcastic shut habit ’ know spent five month tread water wonder bother dont know let go keep reach hand see something cant try save fate well deserve make thing bad try save serve sentence learn lesson heal wound indiscretion ’ know still selfish exile end see misdirection dont know let go see noah kahan liveget ticket low might also like keep reach hand see something cant try save fate well deserve make thing bad try save sometimes pray maybe change think keep reach hand see something cant try save fate well deserve make thing bad try save try save meembed im passive sarcastic shut habit ’ know spent five month tread water wonder bother dont know let go keep reach hand see something cant try save fate well deserve make thing bad try save serve sentence learn lesson heal wound indiscretion ’ know still selfish exile end see misdirection dont know let go keep reach hand see something cant try save fate well deserve make thing bad try save sometimes pray maybe change think keep reach hand see something cant try save fate well deserve make thing bad try save try save,1091
Cynic,2019-06-10,Busyhead,id change name find space get rest id give face find place put head glamor board plane sleep way lax cry rain way im depressed oh think hard im scar might lose oh hollywood sign dont catch eye much anymore oh oohooh leave time make feel im get old im living give open mind oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh oh im cynic oohoohoohooh give open mind see noah kahan liveget ticket low might also like sense blame come failure success would make famous break press give want effort oh hollywood sign dont catch eye much anymore oh oohooh leave time make feel im get old im living give open mind oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh oh im cynic oohoohoohooh give open mind miss day one well last miss taste grow pain knew would pas oh miss thought fear lose oh dont know see light anything oh oohooh leave life turn strength back weakness im living em give open mind oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh oh im cynic oohoohoohooh give open mind oohoohoohooh oohoohoohooh something miss darling oh oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh cause im cynic darling ah oohoohoohooh give open mind beforeembed id change name find space get rest id give face find place put head glamor board plane sleep way lax cry rain way im depressed oh think hard im scar might lose oh hollywood sign dont catch eye much anymore oh oohooh leave time make feel im get old im living give open mind oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh oh im cynic oohoohoohooh give open mind sense blame come failure success would make famous break press give want effort oh hollywood sign dont catch eye much anymore oh oohooh leave time make feel im get old im living give open mind oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh oh im cynic oohoohoohooh give open mind miss day one well last miss taste grow pain knew would pas oh miss thought fear lose oh dont know see light anything oh oohooh leave life turn strength back weakness im living em give open mind oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh oh im cynic oohoohoohooh give open mind oohoohoohooh oohoohoohooh something miss darling oh oohoohoohooh oohoohoohooh im living oohoohoohooh oohoohoohooh cause im cynic darling ah oohoohoohooh give open mind,2545
Fear of Water,2021-09-17,I Was / I Am,think tear arent sweet response tragedy today cant say fall honey chemical dont deceive dont take bitterness empathy darling broken bridge still get youre afraid water dive right im brave im gon na give try itll take little fix flaw bad excuse therapy suppose live one foot one foot fear fall right cant find thе energy weighеd ton brick im forget swim see noah kahan liveget ticket low might also like youre afraid water dive right im brave im gon na give try itll take little im afraid water ill dive right brave im gon na give try im afraid water ill dive right brave im gon na give try cause youll sideembed think tear arent sweet response tragedy today cant say fall honey chemical dont deceive dont take bitterness empathy darling broken bridge still get youre afraid water dive right im brave im gon na give try itll take little fix flaw bad excuse therapy suppose live one foot one foot fear fall right cant find thе energy weighеd ton brick im forget swim youre afraid water dive right im brave im gon na give try itll take little im afraid water ill dive right brave im gon na give try im afraid water ill dive right brave im gon na give try cause youll side,1168
Tidal,2019-06-14,Busyhead,knew spiral happiness tidal come go sank water drift farther away coast sometimes get feel breathing someone elses air two thousand mile away home sky try make peace fear guess ill build boat live alone lord ill lose one oh oh oh ill teach swim live head make sense thought never reach land live lord ill fine oh oh yeah ill drift im dead ill lose one ill lose one fell pattern nothing would matter didnt care close coastline know life id never see noah kahan liveget ticket low might also like sometimes get feel ive breathing someone elses air guess ill build boat live alone lord ill lose one oh oh oh ill teach swim live head make sense thought never reach land live lord ill fine oh oh yeah ill drift im dead ill lose one ill lose one wear demon underneath tide sink like stone weight dream mine wish well cant save someone far find wear stormy sea tonight sea tonight guess ill build boat live alone lord ill lose one oh oh oh ill teach swim live head make sense thought never reach land live lord ill fine oh oh yeah ill drift im dead ill lose one ill lose oneembed knew spiral happiness tidal come go sank water drift farther away coast sometimes get feel breathing someone elses air two thousand mile away home sky try make peace fear guess ill build boat live alone lord ill lose one oh oh oh ill teach swim live head make sense thought never reach land live lord ill fine oh oh yeah ill drift im dead ill lose one ill lose one fell pattern nothing would matter didnt care close coastline know life id never sometimes get feel ive breathing someone elses air guess ill build boat live alone lord ill lose one oh oh oh ill teach swim live head make sense thought never reach land live lord ill fine oh oh yeah ill drift im dead ill lose one ill lose one wear demon underneath tide sink like stone weight dream mine wish well cant save someone far find wear stormy sea tonight sea tonight guess ill build boat live alone lord ill lose one oh oh oh ill teach swim live head make sense thought never reach land live lord ill fine oh oh yeah ill drift im dead ill lose one ill lose one,2090
Bad Luck,2021-09-17,I Was / I Am,told get sober get old get tattoo shoulder im strong im fun would love saw hate im fail mentally ill would call crazy would let would let would love told whole life couldve sworn would die young last word twenty two year tongue im bad luck im bad luck im bad luck know spend long night brain fry talk much im boozebag dobad burnout dead drunk yeah im bad luck im bad luck im bad luck whoa whoa whoa whoa see noah kahan liveget ticket low might also like fault brain vacant world trash dumb get completely waste wash hand sin lose sometimes hate lack patience sometimes love feel like noun new foreign language heart bent worn thin sew skin told whole life couldve sworn would die young last word twenty two year tongue im bad luck im bad luck im bad luck know spend long night brain fry talk much im boozebag dobad burnout dead drunk yeah im bad luck im bad luck im bad luck whoa whoa whoa whoa look back hate past know im everything im everything look back cant stand swear im everything im everything told whole life couldve sworn would die young last word twenty two year tongue im bad luck im bad luck im bad luck know spend long night brain fry talk much im boozebag dobad burnout dead drunk yeah im bad luck im bad luck im bad luckembed told get sober get old get tattoo shoulder im strong im fun would love saw hate im fail mentally ill would call crazy would let would let would love told whole life couldve sworn would die young last word twenty two year tongue im bad luck im bad luck im bad luck know spend long night brain fry talk much im boozebag dobad burnout dead drunk yeah im bad luck im bad luck im bad luck whoa whoa whoa whoa fault brain vacant world trash dumb get completely waste wash hand sin lose sometimes hate lack patience sometimes love feel like noun new foreign language heart bent worn thin sew skin told whole life couldve sworn would die young last word twenty two year tongue im bad luck im bad luck im bad luck know spend long night brain fry talk much im boozebag dobad burnout dead drunk yeah im bad luck im bad luck im bad luck whoa whoa whoa whoa look back hate past know im everything im everything look back cant stand swear im everything im everything told whole life couldve sworn would die young last word twenty two year tongue im bad luck im bad luck im bad luck know spend long night brain fry talk much im boozebag dobad burnout dead drunk yeah im bad luck im bad luck im bad luck,2430
Someone Like You,2021-09-17,I Was / I Am,guess im mess lose head havent heard week mustve left town cant go back feeling felt know one else bring back ive try find silver line cant cant cant hold wish try lose cant find second left yeah voice head scream youre go want someone like see noah kahan liveget ticket low might also likesomeone like someone like somеone like someonе like make sense cant repent im stuck like grave space left reason get ive try find silver line cant oh cant cant hold wish try lose cant find cant find second left yeah voice head scream youre go want someone like someone like someone like someone like someone like ive try find silver line cant cant hold wish try lose cant find cant find second left yeah voice head scream youre go want someone like someone like someone like someone like someone like someone like someone like youre go want someone like youembed guess im mess lose head havent heard week mustve left town cant go back feeling felt know one else bring back ive try find silver line cant cant cant hold wish try lose cant find second left yeah voice head scream youre go want someone like someone like someone like somеone like someonе like make sense cant repent im stuck like grave space left reason get ive try find silver line cant oh cant cant hold wish try lose cant find cant find second left yeah voice head scream youre go want someone like someone like someone like someone like someone like ive try find silver line cant cant hold wish try lose cant find cant find second left yeah voice head scream youre go want someone like someone like someone like someone like someone like someone like someone like youre go want someone like,1647
Doors,,NK4*,grow pretend stick little gun would point em dad hed get mad cause god forbid id hurt someone id hurt anyone could anyone get close anyone wouldnt look born one hundredyear storm foot ice across vermont dark frost heart form malcontented unwarm unprotected unwarned im trouble ahead scream sleep put money red im sure bet lose streak keep show door cant opеn get harder see mе closer try look live babe youre one decide knock knock see noah kahan liveget ticket low might also like ever star directly sun ever share closeness expose spit back someone forgive jump rattle key oh leave babe im wake im left star ceiling listing reason pack shit im trouble ahead scream sleep put money red im sure bet lose streak keep show door cant open get harder see closer try look live babe youre one decide knock knock live babe youre one decide knock knock knock knock im trouble ahead scream sleep put money red im sure bet lose streak keep show door cant open get harder see closer try look live babe youre one— live babe youre one— live babe youre one— youre one— youre one— youre one— youre one— youre one— youre one— youre one— whyd knockembed grow pretend stick little gun would point em dad hed get mad cause god forbid id hurt someone id hurt anyone could anyone get close anyone wouldnt look born one hundredyear storm foot ice across vermont dark frost heart form malcontented unwarm unprotected unwarned im trouble ahead scream sleep put money red im sure bet lose streak keep show door cant opеn get harder see mе closer try look live babe youre one decide knock knock ever star directly sun ever share closeness expose spit back someone forgive jump rattle key oh leave babe im wake im left star ceiling listing reason pack shit im trouble ahead scream sleep put money red im sure bet lose streak keep show door cant open get harder see closer try look live babe youre one decide knock knock live babe youre one decide knock knock knock knock im trouble ahead scream sleep put money red im sure bet lose streak keep show door cant open get harder see closer try look live babe youre one— live babe youre one— live babe youre one— youre one— youre one— youre one— youre one— youre one— youre one— youre one— whyd knock,2218
Caves,2021-09-17,I Was / I Am,weve run place whole year one day know close edge oh dont wan na blame know hate cause pain hope silence end oh hold onto whatever reason oh far fix wan na break honestly im afraid im afraid im afraid im afraid im afraid im afraid know youre ready move stay stay stay wait wait til one u cave oh til one u cave oh long game none u win afraid shеdding skin keep play pretend fеars rope wrist year life weve miss building case head see noah kahan liveget ticket low might also like oh hold onto whatever reason oh far fix want break honestly im afraid im afraid im afraid im afraid im afraid im afraid know youre ready move stay stay stay wait wait til one u cave oh til one u cave oh til one u cave oh til one u cave oh oh hold onto whatever reason far fix want break honestly im afraid im afraid im afraid im afraid im afraid im afraid know youre ready move stay stay stay wait wait till one u cave oh til one u cave oh til one u cave oh til one u cave oh til one u cavesembed weve run place whole year one day know close edge oh dont wan na blame know hate cause pain hope silence end oh hold onto whatever reason oh far fix wan na break honestly im afraid im afraid im afraid im afraid im afraid im afraid know youre ready move stay stay stay wait wait til one u cave oh til one u cave oh long game none u win afraid shеdding skin keep play pretend fеars rope wrist year life weve miss building case head oh hold onto whatever reason oh far fix want break honestly im afraid im afraid im afraid im afraid im afraid im afraid know youre ready move stay stay stay wait wait til one u cave oh til one u cave oh til one u cave oh til one u cave oh oh hold onto whatever reason far fix want break honestly im afraid im afraid im afraid im afraid im afraid im afraid know youre ready move stay stay stay wait wait till one u cave oh til one u cave oh til one u cave oh til one u cave oh til one u cave,1897
I Belong to You*,,,please dont leave youre still part im take backward step without next oh im aimless cold call belong dont belong hmmmm hmmmm hmmmm hmmmm house home empty artifact alone okay spider attic silence scream pain stay one place dont spread evenly see noah kahan liveget ticket low might also like hmmmm hmmmm hmmmm hmmmm hmm hmm hmm hmm im gon na lose either way wan na use either way wish way wish way raise dead wish way wish way raise dead im gon na lose either way im gon na lose either way wish way wish way raise dead wish way wish way raise dead im gon na lose im gon na either way im gon na lose im gon na either way wish way yes wish way raise dead yes wish way yes wish way raise dead please dont leave youre still part im take backward step without next meembed please dont leave youre still part im take backward step without next oh im aimless cold call belong dont belong hmmmm hmmmm hmmmm hmmmm house home empty artifact alone okay spider attic silence scream pain stay one place dont spread evenly hmmmm hmmmm hmmmm hmmmm hmm hmm hmm hmm im gon na lose either way wan na use either way wish way wish way raise dead wish way wish way raise dead im gon na lose either way im gon na lose either way wish way wish way raise dead wish way wish way raise dead im gon na lose im gon na either way im gon na lose im gon na either way wish way yes wish way raise dead yes wish way yes wish way raise dead please dont leave youre still part im take backward step without next,1475
Hollow,2021-09-17,I Was / I Am,like think im age fuck sense patience deep selfdeprecations try cope change smile rare occasion see old face im get old im get old im get old many thing dont know dont know wake every day put clothes hop k might fill hole soul im hollow yeah im hollow im scar check date im scar dark cant escape matter fast car youre hollow im hollow act like choice im still single im small raindrop window im colder backside pillow ive try hold temper obscure rage kid never act age ive get one foot grave see noah kahan liveget ticket low might also like im get old im get old im get old many thing dont know dont know wake every day put clothes hop k might fill hole soul im hollow yeah im hollow im scar check date im scar dark cant escape matter fast car youre hollow im hollow im hollow yeah im hollow im hollow yeah im hollow wan na fifty year im say want alive well fuck think oh welcome side im get old im get old im get old many thing dont know dont know wake every day put clothes hop k might fill hole soul im hollow yeah im hollow im scar check date im scar dark cant escape matter fast car youre hollow im hollow im hollow yeah im hollow im hollow yeah im hollowembed like think im age fuck sense patience deep selfdeprecations try cope change smile rare occasion see old face im get old im get old im get old many thing dont know dont know wake every day put clothes hop k might fill hole soul im hollow yeah im hollow im scar check date im scar dark cant escape matter fast car youre hollow im hollow act like choice im still single im small raindrop window im colder backside pillow ive try hold temper obscure rage kid never act age ive get one foot grave im get old im get old im get old many thing dont know dont know wake every day put clothes hop k might fill hole soul im hollow yeah im hollow im scar check date im scar dark cant escape matter fast car youre hollow im hollow im hollow yeah im hollow im hollow yeah im hollow wan na fifty year im say want alive well fuck think oh welcome side im get old im get old im get old many thing dont know dont know wake every day put clothes hop k might fill hole soul im hollow yeah im hollow im scar check date im scar dark cant escape matter fast car youre hollow im hollow im hollow yeah im hollow im hollow yeah im hollow,2278
Bury Me,2021-09-17,I Was / I Am,never found heart couldnt break hop part would rearrange youd see change see change oh dont know cause honey house feel like grave help take blame every stain mess ive make heart theyre ready theyve six foot underneath cant see time come around wound run deep aint word speak honey bury watch fall let drown deep blue sea baby bury honey bury see noah kahan liveget ticket low might also like could find way change fate would demon erase oh could change oh could change help dont know cause honey shame let go guess ill see funeral ill alone youll alone oh arent theyre ready theyve six foot underneath cant see time come around wound run deep aint word speak honey bury watch fall let drown deep blue sea baby bury honey bury fake sleep eye havent close know youre dream let go feel dirt time come around wound run deep aint word speak honey bury watch fall let drown deep blue sea baby bury honey bury bury bury bury bury bury bury bury bury meembed never found heart couldnt break hop part would rearrange youd see change see change oh dont know cause honey house feel like grave help take blame every stain mess ive make heart theyre ready theyve six foot underneath cant see time come around wound run deep aint word speak honey bury watch fall let drown deep blue sea baby bury honey bury could find way change fate would demon erase oh could change oh could change help dont know cause honey shame let go guess ill see funeral ill alone youll alone oh arent theyre ready theyve six foot underneath cant see time come around wound run deep aint word speak honey bury watch fall let drown deep blue sea baby bury honey bury fake sleep eye havent close know youre dream let go feel dirt time come around wound run deep aint word speak honey bury watch fall let drown deep blue sea baby bury honey bury bury bury bury bury bury bury bury bury,1845
Best Friend*,,,know need best friend someone settle soul someone see like try fit clothes know winter feel colder know day move slow opposite page book end write ill back dont know ill right back heart intact head lap ill still best friend never bother tell always assume knew id trade every milе ive walk within two foot ill bе back dont know ill right back heart intact head lap ill still best friend oh see noah kahan liveget ticket low might also like tell honey run outta time world change change mind oh wont wont fear grow old darling cause dog year one hundred five spend day counting blade grass know ill medicate keep pain past wont wont fear feel moment blood honey take back oh ill back dont know ill right back heart intact head lap ill still best friend tell honey run outta time world change change mind oh wont wont fear grow old darling cause dog year one hundred five know ill spend day counting blade grass know youll medicate keep pain past wont wont fear feel moment blood honey take backembed know need best friend someone settle soul someone see like try fit clothes know winter feel colder know day move slow opposite page book end write ill back dont know ill right back heart intact head lap ill still best friend never bother tell always assume knew id trade every milе ive walk within two foot ill bе back dont know ill right back heart intact head lap ill still best friend oh tell honey run outta time world change change mind oh wont wont fear grow old darling cause dog year one hundred five spend day counting blade grass know ill medicate keep pain past wont wont fear feel moment blood honey take back oh ill back dont know ill right back heart intact head lap ill still best friend tell honey run outta time world change change mind oh wont wont fear grow old darling cause dog year one hundred five know ill spend day counting blade grass know youll medicate keep pain past wont wont fear feel moment blood honey take back,1944
Emily*,,NK4*,get homesickness wear miss like hell oh im witness crime doubt try work way blame think love like summer live perfect moment turn back shit love way way ask im terrify pain close enough grab sat watch pas realize mistake know fall without let break change way emily get motion sickness turn earth twist word blame think love like summer live perfect moment turn back shit see noah kahan liveget ticket low might also like love way way ask im terrify pain close enough grab sat watch pas til realize mistake well know fall without let break change way emily love way way ask im terrify pain close enough grab sat watch pas realize mistake know fall without let break change way emilyembed get homesickness wear miss like hell oh im witness crime doubt try work way blame think love like summer live perfect moment turn back shit love way way ask im terrify pain close enough grab sat watch pas realize mistake know fall without let break change way emily get motion sickness turn earth twist word blame think love like summer live perfect moment turn back shit love way way ask im terrify pain close enough grab sat watch pas til realize mistake well know fall without let break change way emily love way way ask im terrify pain close enough grab sat watch pas realize mistake know fall without let break change way emily,1320
Spoiled,,NK4*,gamble sun one u dy young aint afraid hold gun lead safe tell fella morgue im head back tour gon na put boy work wipe hand wash face im fill every pause im speak know something everything want everything want hope child get spoil get old fuck want blame dad watch go work fall asleep couch theyll say wan na dont wan na theyll say wan na dont wan na im bet north drag back earth cause im im worth gotten damn intertwine im go time next year inhale smoke smash mirror fuck might even disappear hope youve decent time see noah kahan liveget ticket low might also like cause im fill every pause im speak know something everything want everything want hope child get spoil get old fuck want blame dad watch go work fall asleep couch theyll say wan na dont wan na theyll say wan na dont wan na im gamble sun oh man one u dy young aint afraid hold gun lead safe im fill every pause im speak know something everything want everything wantembed gamble sun one u dy young aint afraid hold gun lead safe tell fella morgue im head back tour gon na put boy work wipe hand wash face im fill every pause im speak know something everything want everything want hope child get spoil get old fuck want blame dad watch go work fall asleep couch theyll say wan na dont wan na theyll say wan na dont wan na im bet north drag back earth cause im im worth gotten damn intertwine im go time next year inhale smoke smash mirror fuck might even disappear hope youve decent time cause im fill every pause im speak know something everything want everything want hope child get spoil get old fuck want blame dad watch go work fall asleep couch theyll say wan na dont wan na theyll say wan na dont wan na im gamble sun oh man one u dy young aint afraid hold gun lead safe im fill every pause im speak know something everything want everything want,1818
Way Up High*,,NK4*,busyhead oh head well heard radio today sang place ive know whole life sang sad angry way even say im root ya drove home every restaurant drank ate mostly ignore ya bit cheek scream every song drive quiet want bad feel near mad promise wed root land safely ground end screw come loose know make u proud flew flew way high see noah kahan liveget ticket low might also like woke flight california caught nightmare dream could never make fine one held close sobbed sleeve cry quiet want bad near go already left promise root land safely ground end screw come loose know make u proud flew flew way high promise id root land safely ground end screw come loose know make u proud flew flew way highembed busyhead oh head well heard radio today sang place ive know whole life sang sad angry way even say im root ya drove home every restaurant drank ate mostly ignore ya bit cheek scream every song drive quiet want bad feel near mad promise wed root land safely ground end screw come loose know make u proud flew flew way high woke flight california caught nightmare dream could never make fine one held close sobbed sleeve cry quiet want bad near go already left promise root land safely ground end screw come loose know make u proud flew flew way high promise id root land safely ground end screw come loose know make u proud flew flew way high,1338
